ID,Average,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Rate,Trial
1,01:50.6,01:51.3,01:52.6,01:51.9,01:52.0,01:54.1,01:54.0,01:54.6,36,1
2,01:52.3,01:51.3,01:54.9,01:53.7,01:55.1,01:54.7,01:55.4,01:52.6,30,1
3,01:55.8,01:54.1,01:54.7,01:54.1,01:54.1,01:53.1,01:53.4,01:52.8,35,1
4,01:53.1,01:54.5,01:54.7,01:54.3,01:55.5,01:55.6,01:55.9,01:55.0,35,1
5,01:54.9,01:55.5,01:55.4,01:55.6,01:56.7,01:57.0,01:56.7,01:56.6,35,1
6,01:53.3,01:56.5,01:56.5,01:57.3,01:57.7,01:58.3,01:58.5,01:58.8,35,1
7,01:55.2,01:55.1,01:57.9,01:57.0,01:58.3,01:59.1,01:59.2,01:57.5,36,1
8,01:55.6,01:57.0,01:58.0,01:58.8,01:59.5,02:00.1,01:58.7,01:57.5,35,1
9,01:54.2,01:57.4,01:59.8,01:59.9,02:02.3,02:01.7,02:02.5,02:01.4,35,1
10,01:56.8,01:58.1,01:59.5,01:59.7,02:02.2,02:03.6,02:04.0,02:03.3,34,1
11,01:55.4,01:58.9,02:01.0,02:01.8,02:01.5,02:01.6,02:04.5,02:03.1,33,1
12,01:57.4,01:58.8,02:01.4,02:00.9,02:07.0,02:06.4,02:06.0,02:06.2,35,1
13,02:01.2,02:03.8,02:07.1,02:08.5,02:09.5,02:09.5,02:08.7,02:08.0,35,1
14,01:54.6,02:04.1,02:08.7,02:11.5,02:12.4,02:11.1,02:13.8,02:09.2,32,1
15,02:06.5,02:09.7,02:10.7,02:11.6,02:13.9,02:14.5,02:15.1,02:15.5,34,1
16,01:51.8,01:51.4,01:49.6,01:50.5,01:52.2,01:53.8,01:53.1,01:52.6,36,2
17,01:51.8,01:51.8,01:50.6,01:52.7,01:51.9,01:52.2,01:52.2,01:51.3,32,2
18,01:52.7,01:53.7,01:52.7,01:52.5,01:53.4,01:52.4,01:52.4,01:52.1,35,2
19,01:54.3,01:52.7,01:51.7,01:52.5,01:53.8,01:56.5,01:56.7,01:56.7,36,2
20,01:55.6,01:53.9,01:53.6,01:56.5,01:56.2,01:56.5,01:56.5,01:56.5,37,2
21,01:55.9,01:55.0,01:53.8,01:54.3,01:55.4,01:56.1,01:58.9,01:58.1,36,2
22,01:56.1,01:55.7,01:54.5,01:55.6,01:56.2,01:56.5,01:57.2,01:57.5,34,2
23,01:58.3,01:56.8,01:54.8,01:55.7,01:58.2,02:00.7,02:01.1,02:01.3,34,2
24,01:58.7,01:54.8,01:54.3,01:56.4,01:57.5,01:59.7,02:04.2,02:04.2,36,2
25,01:58.9,01:57.3,01:57.0,01:57.7,01:59.1,02:00.8,02:00.3,02:00.4,36,2
26,01:59.5,01:57.3,01:57.3,01:58.4,01:58.9,02:01.2,02:01.5,02:02.2,36,2
27,01:59.9,01:57.8,01:56.5,01:57.0,02:00.8,02:00.5,02:03.3,02:04.1,37,2
28,02:01.6,01:55.7,01:58.8,02:00.4,02:04.0,02:02.5,02:08.1,02:01.7,38,2
29,02:03.9,01:54.2,02:00.0,02:06.3,02:05.6,02:07.8,02:08.5,02:05.1,35,2
30,02:04.6,02:02.0,02:01.6,02:03.0,02:06.8,02:06.4,02:08.7,02:03.6,35,2
31,02:10.7,02:08.8,02:08.7,02:10.1,02:11.5,02:12.2,02:12.6,02:11.7,35,2
32,01:49.2,01:49.4,01:48.3,01:48.6,01:48.5,01:49.3,01:50.9,01:49.8,35,3
33,01:49.9,01:47.9,01:48.9,01:49.4,01:50.5,01:50.7,01:51.7,01:51.3,38,3
34,01:51.3,01:50.5,01:48.9,01:50.6,01:51.4,01:52.5,01:53.5,01:52.2,36,3
35,01:52.7,01:50.9,01:50.5,01:51.0,01:52.0,01:54.1,01:55.3,01:55.3,38,3
36,01:53.2,01:53.0,01:45.8,01:49.4,01:52.8,01:56.3,01:57.6,01:57.4,38,3
37,01:53.6,01:46.7,01:50.2,01:49.6,01:54.2,01:55.6,01:59.8,01:59.3,37,3
38,01:53.8,01:51.0,01:50.9,01:52.8,01:54.1,01:55.3,01:56.8,01:55.7,37,3
39,01:55.8,01:49.0,01:53.9,01:57.7,01:57.5,01:56.6,01:58.4,01:57.6,38,3
40,01:56.4,01:51.7,01:54.5,01:56.3,01:57.2,01:56.8,01:58.7,01:59.6,37,3
41,01:56.6,01:52.9,01:53.9,01:54.0,01:54.9,01:57.8,01:59.2,02:03.8,37,3
42,01:56.6,01:51.7,01:53.6,01:56.1,01:56.5,02:00.8,02:00.1,01:57.6,37,3
43,01:57.3,01:54.7,01:55.4,01:56.7,01:57.7,01:58.3,01:58.7,01:59.9,37,3
44,01:58.0,01:55.5,01:55.4,01:57.5,01:57.1,02:01.5,01:58.8,02:00.3,38,3
45,02:01.7,01:58.2,02:00.6,01:59.2,02:02.6,02:03.6,02:00.5,02:07.3,35,3
46,02:02.2,02:02.2,02:02.6,02:02.8,02:02.9,02:04.0,02:03.6,01:58.0,36,3
47,02:07.7,02:05.9,02:06.5,02:06.8,02:07.8,02:09.2,02:09.3,02:08.4,37,3